	stId
1038	R-HSA-1482925
1039	R-HSA-174403
1040	R-HSA-422085
1041	R-HSA-264642
1042	R-HSA-3322077
1043	R-HSA-190241
1044	R-HSA-196836
1045	R-HSA-189085
1046	R-HSA-9636383
1047	R-HSA-373753
1048	R-HSA-445144
1049	R-HSA-179409
1050	R-HSA-1362277
1051	R-HSA-9609523
1052	R-HSA-389977
1053	R-HSA-389513
1054	R-HSA-1368082
1055	R-HSA-6807004
1056	R-HSA-5620916
1057	R-HSA-2022870
1058	R-HSA-5654720
1059	R-HSA-1362409
1060	R-HSA-162594
1061	R-HSA-9634285
1062	R-HSA-1482922
1063	R-HSA-211979
1064	R-HSA-5654221
1065	R-HSA-71288
1066	R-HSA-196108
1067	R-HSA-977347
1068	R-HSA-391903
1069	R-HSA-428643
1070	R-HSA-2142700
1071	R-HSA-8848584
1072	R-HSA-5620922
1073	R-HSA-416572
1074	R-HSA-2243919
1075	R-HSA-912631
1076	R-HSA-5627117
1077	R-HSA-937041
1078	R-HSA-881907
1079	R-HSA-8851708
1080	R-HSA-1834941
1081	R-HSA-110320
1082	R-HSA-392517
1083	R-HSA-429958
1084	R-HSA-449836
1085	R-HSA-5654710
1086	R-HSA-8964058
1087	R-HSA-2142688
1088	R-HSA-77111
1089	R-HSA-1237112
1090	R-HSA-446199
1091	R-HSA-156587
1092	R-HSA-159424
1093	R-HSA-192456
1094	R-HSA-9018896
1095	R-HSA-500753
1096	R-HSA-73980
1097	R-HSA-5651801
1098	R-HSA-174048
1099	R-HSA-156711
1100	R-HSA-5625900
1101	R-HSA-500657
1102	R-HSA-210993
1103	R-HSA-3928664
1104	R-HSA-392851
1105	R-HSA-163210
1106	R-HSA-418217
1107	R-HSA-9613829
1108	R-HSA-432142
1109	R-HSA-8849932
1110	R-HSA-2979096
1111	R-HSA-180292
1112	R-HSA-1912420
1113	R-HSA-4419969
1114	R-HSA-416993
1115	R-HSA-1606322
1116	R-HSA-190872
1117	R-HSA-9614657
1118	R-HSA-6804760
1119	R-HSA-5358508
1120	R-HSA-163615
1121	R-HSA-164378
1122	R-HSA-2142845
1123	R-HSA-181429
1124	R-HSA-844456
1125	R-HSA-1181150
1126	R-HSA-2564830
1127	R-HSA-1237044
1128	R-HSA-417957
1129	R-HSA-2142670
1130	R-HSA-9026395
1131	R-HSA-164938
1132	R-HSA-113510
1133	R-HSA-2028269
1134	R-HSA-174411
1135	R-HSA-73780
1136	R-HSA-190840
1137	R-HSA-3560801
1138	R-HSA-372708
1139	R-HSA-5205685
1140	R-HSA-1963642
1141	R-HSA-5210891
1142	R-HSA-5358565
1143	R-HSA-5358606
1144	R-HSA-2022857
1145	R-HSA-5654219
1146	R-HSA-3229121
1147	R-HSA-1660517
1148	R-HSA-139853
1149	R-HSA-4641263
1150	R-HSA-400511
1151	R-HSA-727802
1152	R-HSA-1614517
1153	R-HSA-2142770
1154	R-HSA-140179
1155	R-HSA-209905
